ITEM_CODE,ITEM_NAME,DEPT,VALUE
09515,"BADIA JERK SEASONING 1417G  6",SUPERMARKET,80.99
09778,"RIGHT GUARD  TOTAL DFENCE COOL 250ML 6",SUPERMARKET,155.96
101110,"ZOMBA BLUE COCKTAIL 0 ALC 750ML 6",SUPERMARKET,42.49
104955,"DESTELLO  MULTIPURPOSE CLEANER SPRAY 1L  12",SUPERMARKET,332.91
118366,"JACK DANIEL WHISKY BOUBON SINGLE BARREL 700ML  6",SUPERMARKET,5399.94
117876,"MANILA A4 BROWN ENVELPOE 50PCS PACK",STATIONERY,520
115821,"PAPILION WET WIPES FLOWER PASSION BLUE 64SHEETS 24",SUPERMARKET,152.91
112048,"HOOPS W6SECTIONS MULTI ACTIVITY GY 019","TOYS AND ENTERTAINMENT",20.9
112251,"SHOWER CURTAIN 180X180 WRINGS 006","HOME DECOR & TEXTILES",147.6
110740,"WETTOL ANTISEPTIC 45L   4",SUPERMARKET,500.97
128889,"PEN 3ML SPARK 199920ELP",STATIONERY,14.7
126670,"WALL CLOCK SAKURA 305X305X43 2952","HOME DECOR & TEXTILES",89
126902,"POUCHES WZIPPER A5 BG654",STATIONERY,10.9
121456,"OBA SUNFLOWER OIL 900 ML  12",SUPERMARKET,671.86
124133,"SPONGE NAIL SAVER 4PCS SET 1909831","HOUSEWARE & KITCHENWARE",16.9
131170,"GULLON GLUTEN FREE COOKIES 200G  12",SUPERMARKET,1139.8
133609,"MEN CASUAL SPORT SNEAKERS HMD","GARMENTS AND FOOTWEAR",149
148021,"PHOTO FRAME 5X7","HOME DECOR & TEXTILES",59
145750,"BASIN TRANSPARENT 3L PLASTIC M1342","HOUSEWARE & KITCHENWARE",19.9
14505,"MARINA LUNCH NAPKIN 100X15",SUPERMARKET,7.59
157609,"DUSTBIN QUATRO GREY SWING 12L 26X24X35CM PP60706","HOUSEWARE & KITCHENWARE",79
153770,"FABER CASTELL COLOUR PALETTE ROUND 370090",STATIONERY,258
153457,"DISPLAY EXECUTIVE FILE 20POCKET BC A4 SAYA SY120A",STATIONERY,525
153093,"SERVING TRAY MELAMINE 11 INCHES ZHN 8020115","HOUSEWARE & KITCHENWARE",25.8
149435,"WESTINGHOUSE GLASS STORAGE SET 3P RECT WCFC003506A","HOUSEWARE & KITCHENWARE",99
166265,"LAV TUMBLER 3PCS SET LVEMP368A","HOUSEWARE & KITCHENWARE",159.6
165463,"HARPIC RIM CARRIBEAN BREEZE TROPICAL 35G 6",SUPERMARKET,65.98
162287,"PEELER SS WWOODEN HANDLE MC73022 RJK","HOUSEWARE & KITCHENWARE",59.4
162679,"DINNER PLATE MELAMINE 10 INCHES FEILU 135102","HOUSEWARE & KITCHENWARE",16.9
174245,"UNIMAX GELTRON GEL PEN SET 5PC BLK 07MM FGGLTBK21",STATIONERY,461.1
174343,"PILOT BALL PEN LINER BLUE 10 BLVB10L",STATIONERY,311.88
174521,"DOMS ERASER MINI 80217",STATIONERY,14.5
166819,"MILLVILLE CRUNCHY GRANOLA RAISIN BRAN 516G 1",SUPERMARKET,99.99
168872,"KNIFE FRUIT 6PCS 4 HTCD015 RJK","HOUSEWARE & KITCHENWARE",955.2
181611,"MULTI PURPOSE BASKET WHANDLE PLASTIC 161013150","HOUSEWARE & KITCHENWARE",32.9
178721,"CURTAIN EMB GROMET TAUPE 52X90 02PA7145C","HOME DECOR & TEXTILES",99
182526,"CONTAINER 2PCS SET 2900ML RECT CLEAR  PP66200","HOUSEWARE & KITCHENWARE",345
194964,"LADLE SLOTTED TURNER SILICONE ZHN HR22PC6DS","HOUSEWARE & KITCHENWARE",12.9
194626,"WATER GUN 24CM ASST COL  HCL O51006","TOYS AND ENTERTAINMENT",67.96
193292,"KIDS TOY DUMPER TRUCK TOY OPP HCL","TOYS AND ENTERTAINMENT",813.6
192808,"MELAMINE BOWL 10INCH 19110","HOUSEWARE & KITCHENWARE",1115.4
200226,"HH CANNED MUSHROOM PIECES 400G  12",SUPERMARKET,227.88
198355,"TUMBLER SET 7PCS LANCIERVICTORIA X1023","HOUSEWARE & KITCHENWARE",327
21699,"CLUB LAGER PREMIUM MINI BEER 330ML 24",SUPERMARKET,12.99
202559,"FROSTED HIGH BOWL 7 G208HM","HOUSEWARE & KITCHENWARE",247.5
202571,"FROSTED WAVE BOWL 6 SB026","HOUSEWARE & KITCHENWARE",296.7
202577,"FROSTED OBLIQUE BOWL 9 C60875M","HOUSEWARE & KITCHENWARE",1236.7
202587,"FROSTED PLATE 115 B162115","HOUSEWARE & KITCHENWARE",799.8
60594,"GLADE SENSATIONS AIRFRESHNER REFILL LINEN   12",SUPERMARKET,279.92
72254,"ARDO BROCOLLI 400G 15",SUPERMARKET,41.99
63888,"SABA DETERGENT POWDER 150G  40",SUPERMARKET,4.99
65371,"DAPHINS GREEN PEAS 400GMS 12",SUPERMARKET,15.99
65903,"SUNNY GOLD TOM BROWN SACHET 12KG 12",SUPERMARKET,86.99
D978,"CARLSBERG CAN BEER 500ML 24",SUPERMARKET,74.97
CL674,"JUMBO BOX WFLIP LIDS TRANSPARENT 26LTR 43X29X30CM","HOUSEWARE & KITCHENWARE",1932
92263,"KLEESOFT PERFUMED WASHING POWDERBUCKET3KG  1",SUPERMARKET,129.99
95737,"AMALFI  SHAMPOO FAMILIAR NATURAL CREAM 750ML  16",SUPERMARKET,461.86
03485,"WELCHS 100 CRANBERRY JUICE  473ML  12",SUPERMARKET,584.87
101833,"BLANKET NEW BORN HOOTED BED BATH ELMINA 230GMS","HOME DECOR & TEXTILES",43.8
102966,"BELAIR AIR FRESHENER ROSE 150ML  36",SUPERMARKET,47.96
102968,"BELAIR AIR FRESHENER VANILLA 150ML  36",SUPERMARKET,143.88
102510,"MOMEASY PHYSIOLOGICAL PACIFIER FLOWS 45503","TOYS AND ENTERTAINMENT",79.6
105990,"BANETTI SPAGHETTI 12MM  450G  20",SUPERMARKET,379.17
117188,"DOMS MY 1ST PENCIL KIT WERASERSHARPNERRULE 7140",STATIONERY,73.5
118289,"FARAGELLO GOLD APPLE NECTAR GLASS BOTTLE 1L  6",SUPERMARKET,883.74
112418,"CONTAINER SET 4PCS PILOT PLASTIC L55854","HOUSEWARE & KITCHENWARE",632
114493,"ZOFLORA CONCENTRATED DISINFECTANT 120ML  12",SUPERMARKET,134.97
127693,"DANO EVAPORATED FILLED MILK 170GM 24",SUPERMARKET,33.96
128913,"STAPLES NO2310H TITANIA 146849ELP",STATIONERY,11.9
129557,"BOWL PUDDING GLASS 3 W1082036CB RJK","HOUSEWARE & KITCHENWARE",9.9
123838,"BLANKET TEDDY BEAR 200X220CM ASTD","HOME DECOR & TEXTILES",2151
120917,"PEACOCK THAI RICE 5KG  5",SUPERMARKET,839.96
135869,"FABER CASTEL PAINT BRUSH TRIGRIP RD 4P SET 116401",STATIONERY,189
139258,"GODREJ SAFE GREY 203X419X381MM NX PRO 25L EL","HARDWARE & BUILDING MATERIAL",3499
132946,"CUSHION 45X45 C","HOME DECOR & TEXTILES",1335
147100,"DOVE DEO SPRAY WOMEN ORIGINAL 250ML 6",SUPERMARKET,44.99
155959,"YUMS WHOLE MUSHROOM 400G  24",SUPERMARKET,755.73
151507,"HEAVEN SCENT CREAM COCOA BUTTER 500ML 12",SUPERMARKET,24.99
149286,"CERES NECTAR TROP BLAST JUICE  DRINK  1L 12",SUPERMARKET,1839.6
149442," LAV STEMWARE 3PCS SET LVVEN553A","HOUSEWARE & KITCHENWARE",349.3
165024,"BABY WALKER WTOY 902K","TOYS AND ENTERTAINMENT",289
165085,"AIRWICK 6IN1 AEROSAL SPAR CITRUS 280ML  12",SUPERMARKET,158.97
162323,"PASTA LADLE SS WOOD HANDLE ILC MC73205 RJK","HOUSEWARE & KITCHENWARE",79.6
161312,"BELPAK ECO TROLL  WRAPPED 10ROLLS   6",SUPERMARKET,71.98
161987,"SIDE PEELER PLASTIC L00835","HOUSEWARE & KITCHENWARE",20.7
159745,"MUNCHEE GINGER BISCUITS 65G  48",SUPERMARKET,57.48
159758,"MUNCHEE GINGER BISCUITS 35G  72",SUPERMARKET,32.28
174312,"PILOT BALL PEN SUPER GRIP LINK BLUE BPGG8REFLL",STATIONERY,167.88
169167,"DON SIMON CRANBERRYGRAPE JUICE 500ML 12",SUPERMARKET,24.49
167487,"TOILET TRAINER SEAT BLUEPINK N287","TOYS AND ENTERTAINMENT",69.8
179870,"TRIOS BALL PEN 10MM 162006BC",STATIONERY,21.8
180097,"DOVE STICK 40ML PEAR AND ALOE VERA 6",SUPERMARKET,247.45
176364,"GRANIT RIMLESS PLATE 20 FRC V2521","HOUSEWARE & KITCHENWARE",538.8
178193,"BATH GLOVES COTTON AND LINEN YWU","HOUSEWARE & KITCHENWARE",99.6
178292,"BATH SCRUBBER 2PCS SET PLASTIC FIBRE YWU","HOUSEWARE & KITCHENWARE",119.2
177817,"MOMEASY BOWL SET 45361","TOYS AND ENTERTAINMENT",474
186680,"FOOD STORAGE 5100ML PLASTIC RJK YH3099","HOUSEWARE & KITCHENWARE",399.2
186920,"2PC BATHMAT SET 50X80CM D1 CT ASTD 4COLOR JBT52207","HOME DECOR & TEXTILES",99
187952,"DECORATIVE ACCESSORY IRONGLASS","HOME DECOR & TEXTILES",69
192351,"BINDER CLIP 19MM 20PCS ID04279",STATIONERY,190.8
19815,"ENERGIZER BATTERY ALKALINE AA MAXMINI 1X20 BP2","ELECTRICAL APPLIANCES",37.9
197116,"MCBERRY DUBAI CHOCOLATE ORIGINAL WAFER 20G 144",SUPERMARKET,219.09
23289,"TICTAC ORANGE 102G 60",SUPERMARKET,6.99
40617,"DEVA HAND SANITIZER 75ML  24",SUPERMARKET,25.47
