SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,ERP_QTY,DEPT
KCS,00338,"REESES PEANUT BUTTER CUPS 42G 36",20.99,143,SUPERMARKET
HAA,00360,"EXETER CORNED BEEF 198G 24",49.99,16,SUPERMARKET
ACH,00362,"ZWAN BEEF LUNCHEON MEAT 200G 12",36.99,37,SUPERMARKET
FAR,00362,"ZWAN BEEF LUNCHEON MEAT 200G 12",36.99,13,SUPERMARKET
HAA,00362,"ZWAN BEEF LUNCHEON MEAT 200G 12",36.99,8,SUPERMARKET
M04,00363,"ZWAN CHICKEN LUNCHEON MEAT 200G 12",37.99,11,SUPERMARKET
MDN,00365,"ZWAN CHICKEN HOTDOGS CAN 400G 12",46.99,11,SUPERMARKET
HAA,00366,"ZWAN CHICKEN 6 BIG FRANKS 560G 12",71.99,10,SUPERMARKET
ADB,00377,"CERES RED GRAPE JUICE 200ML 24",14.49,32,SUPERMARKET
MDN,00377,"CERES RED GRAPE JUICE 200ML 24",14.49,24,SUPERMARKET
GBA,00380,"CERES MANGO JUICE 200ML 24",10.99,20,SUPERMARKET
M05,00383,"GLADE MAGNOLIA  VANILLA AIRFRESHNER 300ML 12",34.99,3,SUPERMARKET
FAR,00522,"AKAI AVR 3KVA AVR006A  3000VA",1499,2,"ELECTRICAL APPLIANCES"
ADB,00869,"COWBELL MILK STRAWBRY 35G 10 X12  120",5.99,221,SUPERMARKET
ACH,01551,"RAID MIK INSECTICIDE SPRAY 300ML  24 26339",38.99,19,SUPERMARKET
ADB,01565,"PURE HEAVEN SPARKLING  APPLE 750ML 12",51.49,10,SUPERMARKET
ACH,01607,"BADIA CINNAMON STIICKS 354G  8",50.99,12,SUPERMARKET
M04,01609,"BADIA PEPPER GROUND BLACK 1984G  12",134.99,22,SUPERMARKET
MDN,01751,"JACOBS CREAM CRACKERS 200G 24",40.99,2,SUPERMARKET
LFS,02224,"DOMESTOS ORIGINAL BLEACH  750 ML 9",32.99,3,SUPERMARKET
ADB,02247,"SAIRO ARGAN HAND WASH 500ML 12",29.99,5,SUPERMARKET
ACH,02250,"BAKERS TENNIS CLASSIC COCONUT BISCUITS 200G 12",45.99,8,SUPERMARKET
MDN,02252,"BAKER EET SUM MOR SHORTBREAD BISCUITS 200G  12",45.99,33,SUPERMARKET
KS7,02252,"BAKER EET SUM MOR SHORTBREAD BISCUITS 200G  12",45.99,8,SUPERMARKET
MAS,02258,"BAKERS CREAM CRACKERS CRISP CRACKERS 200G  12",33.99,8,SUPERMARKET
MDN,02264,"BAKERS PROVITA ANCIENT GRAINS CRIPBREAD 250G  12",59.99,16,SUPERMARKET
