"ITEM CODE","ITEM NAME",PRICE,RACK,USER,QTY,DATE/TIME,DEPT,GROUP,SUB-GROUP
00363,"ZWAN CHICKEN LUNCHEON MEAT 200G 12",37.99,25,DEEPAK,14,"16-JUN-26 05.03.27.260000 PM",SUPERMARKET,"FOOD CUPBOARD","CANNED FOOD"
02865,"VOLTPLUS UNIVERSAL ADAPTOR W/ BS PLUG VP-UAG134",79,12,COLLINS,2,"16-JUN-26 05.14.27.335000 PM","ELECTRICAL APPLIANCES",ELECTRICALS,"ELE ACCESSORIES"
05112,"INDOMIE SUPER PACK ONION CHICKEN 120G 44",8.29,25,DEEPAK,65,"16-JUN-26 05.02.07.148000 PM",SUPERMARKET,"FOOD CUPBOARD","NOODLES AND SOUP"
04142,"SHINE FACIAL TISSUE  200PK  10",17.49,T,MANOJ,1,"16-JUN-26 05.05.04.700000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
04199,"VASELINE MEN COOLING BODY LOTION 400ML 48",49.99,T,MANOJ,58,"16-JUN-26 04.52.13.914000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
07013,"YAZZ WASHING POWDER 500G 12",18.99,6,AKORFA,8,"16-JUN-26 04.45.02.684000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
07014,"YAZZ WASHING POWDER 1KG 10",39.99,6,AKORFA,1,"16-JUN-26 04.45.28.175000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
07979,"PEAK MILK POWDER TIN  400G 24",109.99,12,COLLINS,12,"16-JUN-26 04.47.02.291000 PM",SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
09915,"POMO TOMATO PASTE 2.2KG 6",69.99,25,DEEPAK,52,"16-JUN-26 05.02.20.923000 PM",SUPERMARKET,"FOOD CUPBOARD",CONDIMENTS
100030,"NANA-S RICE LONG GRAIN RICE 5% BROKENNESS 1KG 20",32.99,25,DEEPAK,50,"16-JUN-26 05.01.29.927000 PM",SUPERMARKET,"FOOD CUPBOARD","RAW RICE"
100246,"BEDSHEET SET QUEENSIZE 125GSM 3PCS QBS-76",159,GH,FH,4,"16-JUN-26 04.54.45.050000 PM","HOME DECOR & TEXTILES","BED SHEET","QUEEN SIZE BEDSHEET"
100246,"BEDSHEET SET QUEENSIZE 125GSM 3PCS QBS-76",159,6,AKORFA,9,"16-JUN-26 04.49.07.296000 PM","HOME DECOR & TEXTILES","BED SHEET","QUEEN SIZE BEDSHEET"
101017,"CURTAIN POLYESTER 52X84"" W/HANGER ZGB097",199,6,AKORFA,7,"16-JUN-26 04.49.13.903000 PM","HOME DECOR & TEXTILES",CURTAINS,"GROMMET CURTAINS"
101901,"MATA GREEN PEAS IN BRINE E/O 400G  24",15.99,25,DEEPAK,21,"16-JUN-26 05.03.42.281000 PM",SUPERMARKET,"FOOD CUPBOARD","CANNED FOOD"
101901,"MATA GREEN PEAS IN BRINE E/O 400G  24",15.99,25,DEEPAK,25,"16-JUN-26 05.03.35.388000 PM",SUPERMARKET,"FOOD CUPBOARD","CANNED FOOD"
101951,"CONTAINER RECTANGULAR SET OF 7PCS PLASTIC 5667-7",59,6,AKORFA,6,"16-JUN-26 04.54.39.337000 PM","HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER","STORAGE CONTAINERS"
102192,"PLATINUM SUNFLOWER OIL 900ML  15",44.99,25,DEEPAK,52,"16-JUN-26 05.00.57.342000 PM",SUPERMARKET,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
102516,"MOMEASY MEDICINE DISPENSER W/PLASTIC CASE 46072",36.9,6,AKORFA,2,"16-JUN-26 04.47.25.724000 PM","TOYS AND ENTERTAINMENT",INFANTS,"BABY GENERAL CARE"
102981,"BABYMED POMADE 250ML  48",25.99,T,MANOJ,3,"16-JUN-26 04.54.40.437000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
103055,"DAY BY DAY LOTION GRENADINE 500ML  24",24.29,T,MANOJ,58,"16-JUN-26 04.51.13.746000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
103064,"DAY BY DAY MEN LOTION 200ML  36",11.99,T,MANOJ,11,"16-JUN-26 04.53.18.862000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
103066,"DAY BY DAY LOTION MEN SPORT 500ML  24",25.99,T,MANOJ,618,"16-JUN-26 04.51.00.306000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
103128,"PRINCESS CARO PAA CREAM 260G  4",22.49,T,MANOJ,4,"16-JUN-26 04.54.00.087000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
104363,"NESTLE CERELAC WHEAT WITH MILK 300G  12",31.99,6,AKORFA,5,"16-JUN-26 04.55.35.022000 PM",SUPERMARKET,"FOOD CUPBOARD","BREAKFAST CEREALS"
103889,"BLING DISINFECTANT GARDENIA 5L  4",57.99,12,COLLINS,4,"16-JUN-26 05.01.35.799000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
104963,"ROMAR FAB SOFTENER CONC HIP ROSE 2000ML  6",84.99,T,MANOJ,2,"16-JUN-26 05.01.52.012000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
104978,"ROMAR SOFTENER CONC. RELAX 2L  6",81.99,T,MANOJ,1,"16-JUN-26 05.01.29.995000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
105969,"MUTLU SPAGHETTI 400G 20",9.49,12,COLLINS,22,"16-JUN-26 04.55.08.531000 PM",SUPERMARKET,"FOOD CUPBOARD","PASTA AND SPAGHETTI"
106024,"SAMSUNG LED TV 32"" SAT SMART UA32T5300",3689,GH,FH,1,"16-JUN-26 05.00.41.574000 PM","ELECTRONICS & TELECOM","LED TV","SMART TV"
106182,"VOLTPLUS MULTI ADAPTOR VP-DFA5",29,GH,FH,5,"16-JUN-26 05.13.28.731000 PM","ELECTRICAL APPLIANCES",ELECTRICALS,"ELE ACCESSORIES"
106551,"MIDEA LED BULB A 9W E27 COOL MDL-BUA6009W-6500K",8.25,5,DAVID,800489,"16-JUN-26 05.01.47.976000 PM","ELECTRICAL APPLIANCES","LIGHT BULBS","LED BULB"
107210,"DZIRE BLUETOOTH SPEAKER W/USB/FM/TF CARD PS-396",119,12,COLLINS,16,"16-JUN-26 05.14.01.821000 PM","ELECTRONICS & TELECOM",AUDIO,"PORTABLE/BT SPEAKER"
107210,"DZIRE BLUETOOTH SPEAKER W/USB/FM/TF CARD PS-396",119,6,AKORFA,9,"16-JUN-26 05.13.20.603000 PM","ELECTRONICS & TELECOM",AUDIO,"PORTABLE/BT SPEAKER"
108134,"CURTAIN 52X84  W/8GROMMET J2020825",139,6,AKORFA,8,"16-JUN-26 04.58.34.279000 PM","HOME DECOR & TEXTILES",CURTAINS,"GROMMET CURTAINS"
117646,"SOAP CASE PLASTIC UR-3144",6.9,6,AKORFA,5,"16-JUN-26 04.49.48.504000 PM","HOUSEWARE & KITCHENWARE",BATHROOM,"SOAP DISH CASE DISPENSERS"
118147,"DOUBLE MATTRESS BED BATH 54""*75"" ASHFOAM",1729,12,COLLINS,8,"16-JUN-26 05.03.55.818000 PM",FURNITURE,MATTRESS,"Double Size"
114529,"SERVING BOWL MELAMINE 8 INCHES ZHN C6138",14.9,6,AKORFA,5,"16-JUN-26 04.54.05.431000 PM","HOUSEWARE & KITCHENWARE","MELAMINE WARE","MEL BOWL/BOWL+COVER"
114593,"CONTAINER SET WLOCK 3X1200ML PLASTIC BG-617",34.9,6,AKORFA,3,"16-JUN-26 04.54.50.977000 PM","HOUSEWARE & KITCHENWARE","STORAGE AND ORGANIZER","STORAGE CONTAINERS"
113210,"BROOM WHANDLE BLUE PLASTIC BT168215",29.9,6,AKORFA,7,"16-JUN-26 04.47.59.862000 PM","HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
113211,"BROOM WHANDLE SOFT BRISTLE PLASTIC 1002/E",42.9,5,DAVID,248947,"16-JUN-26 04.57.30.492000 PM","HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
113215,"BROOM W/HANDLE BLUE PINK PLASTIC 1692E",42.9,GH,FH,9,"16-JUN-26 04.55.09.355000 PM","HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
109878,"NUMBER WRITING BOOK 1-100",24.99,6,AKORFA,6,"16-JUN-26 04.51.40.895000 PM",STATIONERY,"CHILDREN BOOKS AND GEN REF","BOOKS AND LEARNINGS"
110145,"BOWL 3000ML PLASTIC ELITE-4 P 556",14.9,6,AKORFA,35,"16-JUN-26 04.54.28.811000 PM","HOUSEWARE & KITCHENWARE",DINNERWARE,BOWLS
108983,"FESTIVA  EVAPORATED MILK 170G 48",7.49,12,COLLINS,12,"16-JUN-26 04.47.51.044000 PM",SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
122722,"KELLOGGS CORNFLAKES 300G  10 NGR",47.99,25,DEEPAK,23,"16-JUN-26 05.05.48.556000 PM",SUPERMARKET,"FOOD CUPBOARD","BREAKFAST CEREALS"
122795,"BATHROOM CORNER SHELF 3 LAYER PLASTIC UR-3077",59,6,AKORFA,3,"16-JUN-26 04.53.12.647000 PM","HOUSEWARE & KITCHENWARE",BATHROOM,"BATHROOM SHELF RACKS HOLDERS"
125262,"ROMAR FABRIC SOFTENER CONC. FLORA 2L  6",81.99,T,MANOJ,1,"16-JUN-26 05.01.40.894000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
122226,"AIRPRO AIRREFRSHENER GEL  PEACH PUNCH 128G  24",24.49,GH,FH,20,"16-JUN-26 05.14.00.122000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",FRESHENERS
122226,"AIRPRO AIRREFRSHENER GEL  PEACH PUNCH 128G  24",24.49,6,AKORFA,38,"16-JUN-26 05.12.22.324000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",FRESHENERS
119267,"DOMS PENCIL SET 12PCS FUSION X-TRA SUPER DARK 7675",28.9,6,AKORFA,2,"16-JUN-26 04.51.30.175000 PM",STATIONERY,"GENERAL STATIONERY","   WRITING SUPPLIES"
121778,"KOTEX PANTY LINERS NORMAL 35 SHEETS  12",55.99,5,DAVID,8,"16-JUN-26 04.47.42.102000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","FEMININE CARE"
121825,"CLOTHES PEG SET 12PCS RAPID",9.9,6,AKORFA,5,"16-JUN-26 04.49.24.526000 PM","HOUSEWARE & KITCHENWARE",LAUNDARY,"CLOTH PEGS / CLIP"
119594,"FARAGELLO GOLD MANGO NECTAR GLASS BOTTLE 250ML  24",11.99,6,AKORFA,58,"16-JUN-26 04.56.28.546000 PM",SUPERMARKET,BEVERAGES,JUICE
120807,"JAMAA DETERGENT 420G  12",12.99,GH,FH,4,"16-JUN-26 04.56.18.060000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
119658,"KIVO GOOD TIME NON DAIRY CREAMER 250G  25+1",19.99,12,COLLINS,11,"16-JUN-26 04.53.13.094000 PM",SUPERMARKET,"FOOD CUPBOARD","DRINKING POWDER"
119658,"KIVO GOOD TIME NON DAIRY CREAMER 250G  25+1",19.99,12,COLLINS,8,"16-JUN-26 04.51.39.942000 PM",SUPERMARKET,"FOOD CUPBOARD","DRINKING POWDER"
132415,"CUSHION 45X45CM SK210125",34.9,5,DAVID,0,"16-JUN-26 04.58.22.099000 PM","HOME DECOR & TEXTILES","COVERS CUSHION/PILLOW/CHAIR",CUSHION
131522,"GOODYS SPICY HOT SHITO  800G 12",149.99,25,DEEPAK,52,"16-JUN-26 05.02.42.091000 PM",SUPERMARKET,"FOOD CUPBOARD",CONDIMENTS
133028,"CHOPPING BOARD 28X38X18CM BAMBOO YWU",69,T,MANOJ,1,"16-JUN-26 05.11.27.274000 PM","HOUSEWARE & KITCHENWARE","KNIFE AND CHOPPING BOARD","CHOPPING BOARDS AND CHOPPERS"
127067,"AKAI STEAM IRON 2200W CERAMIC EI049A-281",299,6,AKORFA,6,"16-JUN-26 05.01.02.296000 PM","ELECTRICAL APPLIANCES","LINEN CARE","STEAM IRONS"
125287,"AIRPRO AEROSOL LAVENDER  300ML  24",28.99,6,AKORFA,9,"16-JUN-26 04.46.22.445000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",FRESHENERS
125359,"ROMAR FABRIC SOFTENER TALC 750ML  15",36.99,T,MANOJ,30,"16-JUN-26 05.00.48.650000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
128827,"TASTY TOM JOLLOF MIX 1.1KG  12",47.49,25,DEEPAK,13,"16-JUN-26 05.02.32.097000 PM",SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
127749,"PAPER BOX CAKE HEIGHTEN 10 30X30X34CM YWU",44.9,25,DEEPAK,50,"16-JUN-26 04.57.13.274000 PM","HOUSEWARE & KITCHENWARE",BAKEWARE,MOULDS
13865,"ALWAYS NORMALVALUE PACK ULTRA THIN LONG 16PADS  8",44.99,T,MANOJ,1,"16-JUN-26 05.02.39.299000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","FEMININE CARE"
139331,"BINATONE STANDING FAN 18"" A1810",1009,12,COLLINS,2,"16-JUN-26 05.03.27.583000 PM","ELECTRICAL APPLIANCES",FAN,"STANDING FAN"
140569,"MEANNAN PLANTAIN CHIPS & PEANUTS 100G  12",12.49,GH,FH,12,"16-JUN-26 05.14.24.291000 PM",SUPERMARKET,"FOOD CUPBOARD",SNACKS
13476,"LELE THAI RICE 5KG 5",210.99,25,DEEPAK,25,"16-JUN-26 05.01.20.542000 PM",SUPERMARKET,"FOOD CUPBOARD","RAW RICE"
