SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,AUDIT_QTY,DEPT,GROUP,SUB-GROUP
MKL,02865,"VOLTPLUS UNIVERSAL ADAPTOR W/ BS PLUG VP-UAG134",79,0,"ELECTRICAL APPLIANCES",ELECTRICALS,"ELE ACCESSORIES"
MKL,06969,"KASAPREKO TONIC WINE 750ML 12",29.99,0,SUPERMARKET,"BEVERAGES ALCOHOLIC",WINES
MKL,100984,"CURTAIN POLYESTER 52X84"" W/HANGER DR-TH157-2",159,0,"HOME DECOR & TEXTILES",CURTAINS,"GROMMET CURTAINS"
MKL,120620,"COMFORTER QUEEN SOLID MICROPEACH 4PC 03C0361Q",449,0,"HOME DECOR & TEXTILES","BLANKETS QUILTS COMFORTERS AND BEDCOVERS",COMFORTERS
MKL,128776,"TEXTLIGHTER 12YRS+ LUXOR 2PCS 4011/2BC",13.9,0,STATIONERY,"GENERAL STATIONERY","   WRITING SUPPLIES"
MKL,131134,"DUSTPAN SANTA MARIA 26X6X32CM 001.0965",4.9,0,"HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
MKL,133384,"PARLE MALTY BISCUITS 45GG 48",2.29,0,SUPERMARKET,"FOOD CUPBOARD",BISCUITS
MKL,15211,"MILO SOFT PACK 400G 12",49.99,0,SUPERMARKET,BEVERAGES,"COCOA POWDER"
MKL,159741,"MUNCHEE MSC CHOCO MILK BISCUITS 35G  72",1.99,0,SUPERMARKET,"FOOD CUPBOARD",BISCUITS
MKL,191975,"DINNER SPOON 42G1155 ZHN",24.9,0,"HOUSEWARE & KITCHENWARE","CUTLERY ITEMS","SPOONS FORKS KNIFE AND CUTLERY SET"
MKL,193041,"PEELER 6PCS SET ZHN KB618",12.9,0,"HOUSEWARE & KITCHENWARE","KNIFE AND CHOPPING BOARD","VEG AND FRUIT PEELERS"
MKL,40290,"SHINE KITCHEN TOWEL ( 2PCS) 6",28.99,0,SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
MKL,51352,"PHILIPS BLENDER W/MILL 1.5L 400W HR2102",719,0,"ELECTRICAL APPLIANCES","FOOD PROCESSOR/BLENDER",BLENDERS
MKL,59830,"PALMOLIVE SHOWER GEL GMT SPA STRAWBERRY 500ML 12",76.99,0,SUPERMARKET,"HOME AND PERSONAL CARE","PERSONAL WASH"
MKL,71134,"MILO ALL IN ONE NUTRIMIX 800GM 12",103.99,0,SUPERMARKET,BEVERAGES,"DRINKING POWDERS"
MKL,87231,"BANANA MICROWAVE OVEN 20L BLACK BMW7201M",879,0,"ELECTRICAL APPLIANCES",MICROWAVE,"SOLO MICROWAVE"
MKL,97248,"SAIRO SHOWER GEL INTENSE 600ML  12",26.99,0,SUPERMARKET,"HOME AND PERSONAL CARE","PERSONAL WASH"
