SHOP_CODE,ITEM_CODE,AUDIT_QTY,GROUP,SUB-GROUP
SPN,00204,0,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
SPN,00313,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
SPN,00323,0,BEVERAGES,DRINKS
SPN,00338,0,"FOOD CUPBOARD",SNACKS
SPN,00359,0,"FOOD CUPBOARD","CANNED FOOD"
SPN,02413,0,"HOME AND PERSONAL CARE","PET CARE"
SPN,02572,0,BEVERAGES,JUICE
SPN,03062,0,"FOOD CUPBOARD","NOODLES AND SOUP"
SPN,03076,0,"FOOD CUPBOARD","BREAKFAST CEREALS"
SPN,03077,0,"FOOD CUPBOARD","BREAKFAST CEREALS"
SPN,03459,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,03463,0,"BEVERAGES ALCOHOLIC",WHISKEY
SPN,03464,0,"BEVERAGES ALCOHOLIC",LIQUER
SPN,03471,0,BEVERAGES,DRINKS
SPN,03483,0,BEVERAGES,JUICE
SPN,00360,0,"FOOD CUPBOARD","CANNED FOOD"
SPN,00363,0,"FOOD CUPBOARD","CANNED FOOD"
SPN,00366,0,"FOOD CUPBOARD","CANNED FOOD"
SPN,00376,0,BEVERAGES,JUICE
SPN,00377,0,BEVERAGES,JUICE
SPN,00380,0,BEVERAGES,JUICE
SPN,00383,0,"HOME AND PERSONAL CARE",FRESHENERS
SPN,00869,0,BEVERAGES,"DRINKING POWDERS"
SPN,00940,0,"BEVERAGES ALCOHOLIC",LIQUER
SPN,01551,0,"HOME AND PERSONAL CARE","INSECTICIDES AND RODENT CONTROL"
SPN,01565,0,"BEVERAGES ALCOHOLIC",WINES
SPN,01566,0,"BEVERAGES ALCOHOLIC",WINES
SPN,01607,0,"FOOD CUPBOARD","SPICES AND HERBS"
SPN,01608,0,BEVERAGES,"NON ALCOHOLIC"
SPN,01609,0,"FOOD CUPBOARD","SPICES AND HERBS"
SPN,01744,0,"HOME AND PERSONAL CARE","INSECTICIDES AND RODENT CONTROL"
SPN,01752,0,"HOME AND PERSONAL CARE",FRESHENERS
SPN,01757,20,"FOOD CUPBOARD","BREAKFAST CEREALS"
SPN,01853,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
SPN,02221,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
SPN,02228,0,BEVERAGES,"FLAVOURED TEA"
SPN,02236,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
SPN,02247,0,"HOME AND PERSONAL CARE","PERSONAL WASH"
SPN,02250,0,"FOOD CUPBOARD",BISCUITS
SPN,02252,0,"FOOD CUPBOARD",BISCUITS
SPN,02258,0,"FOOD CUPBOARD",BISCUITS
SPN,02259,0,BAKERY,"TARTS AND PIES"
SPN,02264,0,"FOOD CUPBOARD",BISCUITS
SPN,02266,0,BEVERAGES,COFFEE
SPN,02267,0,BEVERAGES,COFFEE
SPN,02281,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
SPN,02387,0,"FOOD CUPBOARD",BISCUITS
SPN,02388,20,"FOOD CUPBOARD",BISCUITS
SPN,02390,0,"FOOD CUPBOARD",SNACKS
SPN,02391,0,"FOOD CUPBOARD",SNACKS
SPN,04899,0,"HOME AND PERSONAL CARE","HAIR CARE"
SPN,04903,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,04904,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,04905,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,04906,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,04909,0,"FOOD CUPBOARD",CONFECTIONERY
SPN,04949,0,"HOME AND PERSONAL CARE",DISPOSABLE
SPN,05112,0,"FOOD CUPBOARD","NOODLES AND SOUP"
SPN,05144,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,05145,0,"HOME AND PERSONAL CARE","HAIR CARE"
SPN,03484,0,BEVERAGES,JUICE
SPN,03486,0,BEVERAGES,JUICE
SPN,03487,0,BEVERAGES,JUICE
SPN,03621,0,"HOME AND PERSONAL CARE","PERSONAL WASH"
SPN,03640,0,"FOOD CUPBOARD","NOODLES AND SOUP"
SPN,03645,0,"FOOD CUPBOARD","MILK AND CREAMERS"
SPN,03734,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
SPN,03749,0,"HOME AND PERSONAL CARE",FRAGRANCES
SPN,03766,0,"FOOD CUPBOARD",FLOURS
SPN,03809,0,"FOOD CUPBOARD",CONFECTIONERY
SPN,03825,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
SPN,03826,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
SPN,03892,0,"FOOD CUPBOARD",CONFECTIONERY
SPN,03893,0,"FOOD CUPBOARD","SPICES AND HERBS"
SPN,03900,0,"FOOD CUPBOARD",CONFECTIONERY
SPN,03901,0,BEVERAGES,TEA
SPN,03928,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
SPN,03937,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
SPN,03969,0,"FOOD CUPBOARD","BREAKFAST CEREALS"
SPN,04013,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
SPN,04086,0,"FOOD CUPBOARD","CANNED FOOD"
SPN,04091,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
SPN,04092,0,"FOOD CUPBOARD","CANNED FOOD"
SPN,04105,0,"FOOD CUPBOARD",CONFECTIONERY
