ITEM_CODE,ITEM_NAME,DEPT,VALUE
102792,"ZIP PATTRESS BOX 3X3","ELECTRICAL APPLIANCES",-1.5
119755,"NASCO AC SPLIT 2HP R410 NAST18N1NASDOC V18N1","ELECTRICAL APPLIANCES",7899
136728,"PHILIPS BATTERY M LONG LIFE AA 1X36 R6LL","ELECTRICAL APPLIANCES",69
144204,"IPHONE USB C 35W POWER ADAPTOR","ELECTRONICS & TELECOM",85
151328,"KIDS TABLE LIGHT WCLOCK","HOME DECOR & TEXTILES",47.9
167062,"NASCO FRIDGE SD 92L SILVER NASF1110FLB","ELECTRICAL APPLIANCES",1749
179121,"HOME APP  MOBILE PH PROTECTION PLAN 2002000",MISCELLANEOUS,-625
198011,"NASCO GAS COOKER 4B 50X50 SILVER NASGC50X50SCTZ","GAS COOKER & ACCESSORIES",1699
197670,"LED NEON LIGHT RGB MAGIC 5MRGB","HOME DECOR & TEXTILES",795
117298,"WESTINGHOUSE STRING LIGHT 320CM CLEAR BALL","HOME DECOR & TEXTILES",134.7
113048,"KENWOOD STEAM IRON 2100W CERAMIC STP50000WO","ELECTRICAL APPLIANCES",1916
134956,"CHANDELIER 3LIGHT BLKGOLD LEAF DESIGN 10463","HOME DECOR & TEXTILES",479
136748,"PHILIPS M LITHIUM MIN BATTERY IBL CR2016","ELECTRICAL APPLIANCES",34
157126,"PENDANT LIGHT BLACK WCRYSTALS 10713","HOME DECOR & TEXTILES",998
153589,"TECNO MEMORY CARD 32GB MK321","ELECTRONICS & TELECOM",138
161587,"DZIRE CEILING FAN 36 DARK BROWN CF 36 BHOB","ELECTRICAL APPLIANCES",698
167594,"BINATONE STANDING FAN 18 RECHARGEABLE RCFM 1875","ELECTRICAL APPLIANCES",1949
169712,"AKAI BLENDER WMILL 15L 400W BD074A639M","ELECTRICAL APPLIANCES",349
179119,"HOME APP  MOBILE PH PROTECTION PLAN 500110000",MISCELLANEOUS,-2250
183344,"QIAOSHENG EXTENSION CORD 5WAY 3U MS 2233USB2M","ELECTRICAL APPLIANCES",109
87296,"BINATONE BLENDER 15L 500W BLG 620621","ELECTRICAL APPLIANCES",909
T0001,TEST,MISCELLANEOUS,-2.11
110298,"MAGIC LIGHT WITH BLUETOOTH","ELECTRICAL APPLIANCES",69
127125,"TABLE LAMP IDOL CARRING BABY DESIGN SILVER","HOME DECOR & TEXTILES",249
121468,"CHRISTMAS LIGHT RGB TREE DESIGN 588730RGB","HOME DECOR & TEXTILES",975
134958,"CHANDELIER GLASS 3LIGHT BLACKGOLD 2022183","HOME DECOR & TEXTILES",958
131567,"LAMP SHADE PRINTED FLOWER GOLDSILVER 10","HOME DECOR & TEXTILES",89.5
157127,"PENDANT LIGHT BLACK 10703","HOME DECOR & TEXTILES",499
157132,"PENDANT LIGHT GOLD 10163","HOME DECOR & TEXTILES",579
156621,"NASCO WASHING MACHINE TT 7KG NAS07TW","ELECTRICAL APPLIANCES",1849
163456,"PHILIPS LED BULB 5W B22 6500K 929002307813","ELECTRICAL APPLIANCES",41.8
164170,"AKAI DRY IRON 1000W EI051A171S","ELECTRICAL APPLIANCES",159
