SHOP_CODE,ITEM_CODE,ITEM_NAME,AUDIT_QTY,ERP_QTY,DEPT,PRICE,DIFF,"DIFF VALUE"
LCC,08833,"FAULTLESS SPRAY STARCH MTLAVENDER 567G 12",12,13,SUPERMARKET,59.99,-1,-59.99
LCC,103966,"SPOON 2PCS W1FORK SET BABY SS SC138",3,2,"HOUSEWARE & KITCHENWARE",9.9,1,9.9
LCC,105983,"LION KING POT SET 4PCS 3549 LION ALU LKING4SET",1,1,"HOUSEWARE & KITCHENWARE",1159,0,0
LCC,114353,"BEVERAGE DISPENSER 5L 19X51CM GLASS YWU",4,4,"HOUSEWARE & KITCHENWARE",199,0,0
LCC,126471,"JUVER DISFRUTA  APPLE DRINK 330ML 18",15,15,SUPERMARKET,14.49,0,0
LCC,126722,"BOWL PUDDING GLASS 3 W1009036CB RJK",27,16,"HOUSEWARE & KITCHENWARE",9.9,11,108.9
LCC,135851,"FABER CASTELL FABRIC COLOUR 6PLAST BOX SET 1410501",6,6,STATIONERY,39,0,0
LCC,137483,"BUMBLE DIAPERS JUMBO N3 MIDI 70PCS  4",4,4,SUPERMARKET,224.99,0,0
LCC,131076,"ROMAR REFILL AUTOM AIR FRESH SEA BREEZE 250ML  6",3,3,SUPERMARKET,48.99,0,0
LCC,131669,"CAKE TOPPER S892",130,128,"HOUSEWARE & KITCHENWARE",1.9,2,3.8
LCC,147091,"DOVE BATH GEL CALMING 750ML  16",26,26,SUPERMARKET,92.99,0,0
LCC,145418,"ARTIFICIAL PLANT 18 STICK 18 LEAF 16M BSY109",3,3,"HOME DECOR & TEXTILES",779,0,0
LCC,156727,"SOLID BATH SHEET 85X170CM ANTEX",24,24,"HOME DECOR & TEXTILES",99,0,0
LCC,159684,"AMERICAN CHEF WHITE VINEGAR 946ML 12",7,7,SUPERMARKET,27.99,0,0
LCC,187055,"BATHROOM 4PCS SET PLASTIC YWU",0,12,"HOUSEWARE & KITCHENWARE",219,-12,-2628
LCC,190047,"FRUIT TRAY 27CM GLASS YWU",10,10,"HOUSEWARE & KITCHENWARE",129,0,0
LCC,90207,"TURTLE OPEN FACE HELMET WADJUSTABLE STRAP MEDIUM",4,4,"HARDWARE & BUILDING MATERIAL",199,0,0
LCC,75249,"TUMBLER ZOMBIE 330ML DXB L4700N7793",54,52,"HOUSEWARE & KITCHENWARE",7.9,2,15.8
LCC,52731,"DETTOL LIQUID ANTISEPTIC 165ML  36",23,23,SUPERMARKET,33.49,0,0
LCC,55689,"AFRIWARA AKONO GINGER 10X125G 10",10,10,SUPERMARKET,11.29,0,0
LCC,69353,"MYSTIC ORCHARD AUTO REFILL  CASHMERE  48",17,17,SUPERMARKET,39.99,0,0
LCC,99716,"STYLE UP BODY LOTION 265ML  6",5,4,SUPERMARKET,16.99,1,16.99
LCC,119590,"FARAGELLO GOLD MANGO NECTAR  BOTTLE 1L  6",11,35,SUPERMARKET,33.99,-24,-815.76
LCC,119793,"SABA MULTIPURPOSE LIQUID 400ML  12",10,10,SUPERMARKET,14.49,0,0
LCC,115047,"DAPHNIS MUSHROOM WHOLE 400G 12",12,14,SUPERMARKET,21.99,-2,-43.98
LCC,111635,"VOI ECO ANTIBACTERIAL HAND SOAP 500ML 12",7,7,SUPERMARKET,33.99,0,0
LCC,127499,"CUSHION RITZ 18X18 INCHES",21,22,"HOME DECOR & TEXTILES",69,-1,-69
LCC,156407,"SERVING TRAY MELAMINE 18 INCHES ZHN 242218",4,4,"HOUSEWARE & KITCHENWARE",29.9,0,0
LCC,153861,"SAYA LARGE SOFT GRIP SCISSORS SYSC210",12,12,STATIONERY,17.9,0,0
LCC,149079,"NASCO FRIDGE DD 138L NASF226SK",2,2,"ELECTRICAL APPLIANCES",4639,0,0
