SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,AUDIT_QTY,DEPT
MAS,02396,"BEL  COLA DRINK 350ML  16",3.39,0,SUPERMARKET
MAS,00359,"EXETER CORNED BEEF 340G 24",54.99,24,SUPERMARKET
MAS,00360,"EXETER CORNED BEEF 198G 24",49.99,10,SUPERMARKET
MAS,04114,"SPARLETTA SODA 350ML 12",5.69,92,SUPERMARKET
MAS,04116,"SPARLETTA QUININE TONIC 350ML 12",5.99,173,SUPERMARKET
MAS,03396,"WATER BOTTLE 065L KOOL KID  KF727",4.9,2,"HOUSEWARE & KITCHENWARE"
MAS,04641,"SERVING BOWL MELAMINE 8 INCHES ZHN C09885",12.9,0,"HOUSEWARE & KITCHENWARE"
MAS,07018,"YAZZ BABY DIAPERS LARGE 10",26.99,34,SUPERMARKET
MAS,07673,"GRANORO DITALINI RIGATI NO 1060 500 24",21.99,6,SUPERMARKET
MAS,07781,"MYDIBEL STRAIGHT CUT GRADE A 99 25KG 4",149.99,0,SUPERMARKET
MAS,07952,"MEANNAN CORN GRITS AKWEGBEMI 750G   12",22.99,5,SUPERMARKET
MAS,07960,"MEANNAN PEANUT PASTE  350ML  12",32.99,19,SUPERMARKET
MAS,07972,"BAKING POWDER 450G 18",57.99,28,SUPERMARKET
MAS,07985,"JOHNSON BABY OIL 500ML 24",69.99,11,SUPERMARKET
MAS,08277,"NESCAFE COFFEE GOLD BLEND 190G  6",234.99,5,SUPERMARKET
MAS,09534,"BADIA ADOBO WITH PEPPER  3614G  12",89.99,10,SUPERMARKET
MAS,08772,"COUNTRE MILK VANILLA 500ML 18",35.99,16,SUPERMARKET
MAS,09226,"ALWAYS EXTRA LONG ULTRA THIN 7PADS X 16",23.99,0,SUPERMARKET
MAS,09486,"BADIA LEMON  PEPPER SEASONING 1843G  6",84.99,9,SUPERMARKET
MAS,101008,"CURTAIN POLYESTER 52X84 DRZGB191",119,13,"HOME DECOR & TEXTILES"
MAS,101009,"CURTAIN POLYESTER 52X84 WHANGER DRZGB192",119,7,"HOME DECOR & TEXTILES"
MAS,101016,"CURTAIN POLYESTER 52X84  WHANGER ZGB501",199,9,"HOME DECOR & TEXTILES"
MAS,101019,"CURTAIN POLYESTER 52X84 WHANGER ZGB101",159,16,"HOME DECOR & TEXTILES"
MAS,101384,"MUNCH IT CRUNCHY SNACKS CEESY STIX 25G  144",5.99,0,SUPERMARKET
