ITEM_CODE,ITEM_NAME,PRICE,AUDIT_QTY,ERP_QTY,DIFF,"DIFF VALUE",DATE,USER,RACK
103773,"GIVERS ROZONE 1L  20",17.49,6,8,-2,-34.98,26-APR-026,GEORGE,112
104960,"ROMAR WASHING LIQUID ORIGINAL 3L  4",136.99,5,4,1,136.99,26-APR-026,GEORGE,110
128877,"RING BINDER 210DF 249953ELP249977ELP",20.9,2,2,0,0,26-APR-026,GLADYS,159
138799,"BUMBLE BABY POCKET WIPES 15PCS HONEYSUCKLE  288",4.29,36,190,-154,-660.66,26-APR-026,"BRIGHT NKANSAH",35
137492,"BUMBLE BABY WET WIPES 100 PCS ROSE DREAM  12",26.99,15,15,0,0,26-APR-026,"BRIGHT NKANSAH",33
168082,"FILLED CUSHION P EMBD 30X50CMCIRCLE DC252",119,12,12,0,0,26-APR-026,FELIX,"ZONE 400"
168121,"FILLED CUSHION P EMBD 45X45CMGEOMETRY4 DC257",139,5,10,-5,-695,26-APR-026,JUDE,180
168006,"FILLED CUSHION P VELVET 45X45CMRED  DC242",119,4,12,-8,-952,26-APR-026,"KINGSLEY OP ",198
181967,"LUNCH BOX PLASTIC WSPOON 750ML MYQ9311",42.9,16,16,0,0,26-APR-026,"NANA KOJO",253
187068,"BATHROOM 4PCS SET PLASTIC YWU",219,0,12,-12,-2628,26-APR-026,"MORGAN ONGOH",216
198557,"DINNER PLATE 10INCHES CERAMIC GGK STRIPED YWU",29.9,28,28,0,0,26-APR-026,BOFFOUR,331
197374,"MIDEA CHEST FREEZER SD 143L INVERTER MDRC265FZG43D",2799,1,1,0,0,26-APR-026,AMADU,WH
35645,"PRAN FROOTO MANGO JUICE 500 ML 24",12.99,3,28,-25,-324.75,26-APR-026,GILBERT,162
85303,"CUSHION 350G MIX COLOR",85,15,22,-7,-595,26-APR-026,JUDE,184
87612,"ALIFE LUXURY  SOAP DELICATE ROSE 100G   40",4.99,15,15,0,0,26-APR-026,EMMANUEL,100
76008,"DALGETY CHAI  MASALA TEA 72G 36",45.99,31,31,0,0,26-APR-026,APPIAH,82
70647,"8 MATTRESS 4275 HD LAT",1349,1,1,0,0,26-APR-026,NYARKO,367
96430,"NIDO ESSENTIA 23G 10PCS X 12",46.49,26,37,-11,-511.39,26-APR-026,FRANKLIN,143
100987,"CURTAIN 3D POLYESTER 52X84  WHANGER FRBB 6240",129,6,6,0,0,26-APR-026,ADDO,206
113100,"TROPICAL SUN COCONUT MILK 400ML  12",39.99,14,15,-1,-39.99,26-APR-026,ESINAM,146
135844,"FABER CASTELL ACRYLIC PAINTING CS SET 574111 FC",89,14,23,-9,-801,26-APR-026,"ARTHUR JONADAB",11
148619,"CURTAIN TIEBACK  2PCS 6COLOUR",22.9,7,6,1,22.9,26-APR-026,ADDO,206
145816,"BELPAK ECO GREEN NAPKIN   15",5.99,1,30,-29,-173.71,26-APR-026,MAHAMA,90
162645,"SERVING BOWL MELAMINE 9 INCHES FEILU 1379",17.9,55,55,0,0,26-APR-026,ESTHER,306
172960,"ARIEL HIGH STUD FLORAL 35KG 4",280.99,1,4,-3,-842.97,26-APR-026,EMMANUEL,95
170039,"ORGANIZER RIBBED BOX WITHOUT LID 5L 13007",19.9,20,22,-2,-39.8,26-APR-026,SOMUAH,273
168435,"ARTIFICIAL FLOWER 5 COLOR MIX 50CM",11.9,3,5,-2,-23.8,26-APR-026,NYARKO,172
166614,"COFFEE TABLE WMIRROR TOP WHITE PARATI",949,1,1,0,0,26-APR-026,FRANCIS,"ZONE 367"
168865,"KNIFE SET FRUIT 6PCS 35 HT201706 RJK",19.9,54,54,0,0,26-APR-026,EMMANUEL,363
182231,"SAYONA HOME THEATRE 31CH 100W SHT1192BT",1599,1,2,-1,-1599,26-APR-026,HAYFORD,157
178072,"BATHROOM SET 6PCS BLACKWHITEGREY YWU",219,3,3,0,0,26-APR-026,"MORGAN ONGOH",215
186120,"VARTA ALKALINE BATTERY V10GA",30,9,9,0,0,26-APR-026,AKUSHIKA,166
26469,"BIC PURE3 LADY SHAVER  PINK SACHET 4  10",63.99,8,8,0,0,26-APR-026,ABIGAIL,1
26950,"VOLTPLUS AVR 2KVA W110V ASSIST OUTPUT AVR6022",779,1,3,-2,-1558,26-APR-026,HAYFORD,156
81667,"ARIZONA LEMONADE FRUIT COCKTAIL 650ML CAN  24",23.99,10,10,0,0,26-APR-026,GIDEON,57
H801,"BANQUET CHAIR CY02SF10131 MAR",579,6,14,-8,-4632,26-APR-026,"FRANCIS ","ZONE 367"
CL605,"MIXING BOWL SMALL 27CMX24CMX12CM",14.9,4,52,-48,-715.2,26-APR-026,QUEENCILLA,256
CL676,"PET JAR ROUND 1000ML 125CMX205CM",3.9,25,64,-39,-152.1,26-APR-026,"NANA KOJO",253
96824,"HEAD  SHOULDER SMOOTH SILKY  SHAMPOO 250ML  6",64.99,1,1,0,0,26-APR-026,"ANANE KOJO",6
06510,"MEANNAN GROUNDED GINGER 80G 24",22.99,10,35,-25,-574.75,26-APR-026,BARBARA,127
07498,"EMBOSSED BOWL 6 INCHES SW006E RJK",12.9,43,44,-1,-12.9,26-APR-026,"KINGSLEY OP",359
129065,"LEVER ARCH FILES 120A4 1362242295",33.9,3,18,-15,-508.5,26-APR-026,GLADYS,159
124965,"DARINA LEMONADE 750G  20",64.99,11,11,0,0,26-APR-026,SOLOMON,62
128757,"BUBBLE UP TONIC WATER 330ML 24",8.49,22,22,0,0,26-APR-026,GIDEON,56
124051,"BITBURGER NON ALCOHOLIC BOTTLE BEER 330ML 24",18.49,24,72,-48,-887.52,26-APR-026,"CHARLES A",54
131321,"STORM ENERGY DRINK 350ML 12",6.79,3,30,-27,-183.33,26-APR-026,GILBERT,162
140619,"BATH SPONGE ADULTS",34.99,31,35,-4,-139.96,26-APR-026,ODAI,225
162835,"CURTAIN JACQUARD 54X90 BLKTAUPE S1301",139,9,9,0,0,26-APR-026,ADDO,205
164142,"WATER BOTTLE PC GOOD VIBES 750ML STEEL 161670087",39.9,11,11,0,0,26-APR-026,WISE,296
162664,"SERVING BOWL MELAMINE 9 INCHES FEILU 722096",14.9,64,138,-74,-1102.6,26-APR-026,"ABIGAIL YEVUGAH",303
182046,"CONTAINER PEFTSEAL 5P 300600110019003000ML",44.9,5,5,0,0,26-APR-026,SOMUAH,276
192754,"CURTAIN PR GREY 54X90 PL 2507Y",99,12,12,0,0,26-APR-026,QUEENCILLA,WAREHOUSE
192769,"CURTAIN PR DK GREY 54X90 PL 2510Y",99,12,12,0,0,26-APR-026,"PAUL OWUSU",235
190639,"SWIMMING RING 100CM",69,2,2,0,0,26-APR-026,SARAH,271
202854,"DINNER SET 16PCS BEIGE CERAMIC T45026",199,1,2,-1,-199,26-APR-026,BOFFOUR,329
74184,"DON SIMON RED GRAPE CAN DRINK 330ML 24",22.49,1,7,-6,-134.94,26-APR-026,ELVIS,79
69055,"DR MALT DARK CAN  330ML  24",8.19,8,60,-52,-425.88,26-APR-026,ELVIS,79
64006,"SUNNY GOLD WHITE SUGAR SACHET 18KG 20",87.99,9,28,-19,-1671.81,26-APR-026,"EMMANUEL HANSON",86
CL714,"SPICE CONTAINER 600ML 126CMX126CMX8CM",5.9,48,42,6,35.4,26-APR-026,WISE,297
95681,"EASY GLASS CLEANER  PINK 825 ML  12",28.99,18,18,0,0,26-APR-026,"BENEDICT ABBEY",25
104605,"BINE POWERFUL CHLORINE DISINFECTANT 5L  4",86.99,6,6,0,0,26-APR-026,ELLA,23
109739,"CUSHION VELVET POPPOM 43X43CM 400G SDF01",89,1,25,-24,-2136,26-APR-026,"JOSEPH PATRICK",177
135327,"MADAR POWDER 27KG  6",99.99,8,14,-6,-599.94,26-APR-026,EMMANUEL,94
164193,"ENAPA MACKREL IN TOMATO SAUCE EASY OPEN 200G  48",12.99,207,207,0,0,26-APR-026,ABIGAIL,124
161328,"FOUNTAIN 21X175X25CM 1208683SL",279,1,2,-1,-279,26-APR-026,NYARKO,367
162658,"SERVING BOWL MELAMINE 8 INCHES FEILU 343086",12.9,92,94,-2,-25.8,26-APR-026,ESTHER,306
167932,"FILLED CUSHION EMBD 45X45CM 4DESIGN",179,5,18,-13,-2327,26-APR-026,JUDE,180
180723,"AKAI AC SPLIT 15HP R410A AC064A12KBTU",3849,1,1,0,0,26-APR-026,GILBERT,162
