"ITEM MASTER SYNC SUMMARY"
"Shop Code",MSS
"Stock Date",2026-06-01
"Audit Type",SST
"Scanning Mode",Itemwise
"Total Items",53
"Total Qty",0
"Total Value","GH₵11,642.48"

"Item Code","Item Name",Barcode,Image,Price,Dept,"Shop Code","Curr Stock","CH PI","CH Status","VC Group","VC Subgroup","VC Unit","VC Item Code","VC Shop Code","Stock Qyt"
146723,"1.5OZ SAUCE CUP+LIDS- H 100PCS (OWN USE)",146723,N/A,"GHS 708.70",6,MSS,0,N,N,380,1892,BOX,146723,MSS,0
146724,"3.25OZ SAUCE CUP+LIDS- H",146724,N/A,"GHS 0.40",6,MSS,0,N,N,380,1892,BOX,146724,MSS,0
146731,"CARTON TRAY WHITE S/S (23*16CM)-H",146731,N/A,"GHS 1024.99",6,MSS,0,N,N,380,1892,Bundle,146731,MSS,0
146733,"CARTON TRAY WHITE M/S (29*20CM)-H",146733,N/A,"GHS 668.00",6,MSS,0,N,N,380,1892,Bundle,146733,MSS,0
146734,"CARTON TRAY WHITE L/S (31*22CM)-H",146734,N/A,"GHS 1024.99",6,MSS,0,N,N,380,1892,Bundle,146734,MSS,0
146747,"CUTLERY SET DELUXE-H",146747,N/A,"GHS 1.79",6,MSS,0,N,N,380,1892,CARTON,146747,MSS,0
147069,"24OZ ROUND BLACK MW CONTAINER(150PCS)+LID-H",147069,N/A,"GHS 649.99",6,MSS,0,N,N,380,1892,PCS,147069,MSS,0
147071,"24OZ RECT BLACK MW CONTAINER (150PCS)-H",147071,N/A,"GHS 3.30",6,MSS,0,N,N,380,1892,PCS,147071,MSS,0
147073,"58OZ RECT BLACK MW CONTAINER (150PCS)-H",147073,N/A,"GHS 11.99",6,MSS,0,N,N,380,1892,PCS,147073,MSS,0
147074,"SHINE 1000CC CONTAINER 4-SECTION RECT(150 PSC)",147074,N/A,"GHS 0.00",6,MSS,0,N,N,380,1892,PCS,147074,MSS,0
147075,"SHINE 300CC CONTAINER ROUND(450 PSC)",147075,N/A,"GHS 0.00",6,MSS,0,N,N,380,1892,PCS,147075,MSS,0
147076,"SHINE 450CC CONTAINER ROUND(450 PSC)",147076,N/A,"GHS 0.00",6,MSS,0,N,N,380,1892,PCS,147076,MSS,0
147078,"SHINE 625CC CONTAINER ROUND(300 PSC)",147078,N/A,"GHS 0.00",6,MSS,0,N,N,380,1892,PCS,147078,MSS,0
147079,"SHINE 500CC CONTAINER RECT(300 PSC)",147079,N/A,"GHS 0.00",6,MSS,0,N,N,380,1892,PCS,147079,MSS,0
147080,"SHINE 650CC CONTAINER RECT(300 PSC)",147080,N/A,"GHS 0.00",6,MSS,0,N,N,380,1892,PCS,147080,MSS,0
147346,"HALLAB MOLD DIE",147346,N/A,"GHS 6582.60",6,MSS,0,N,N,380,1892,PCS,147346,MSS,0
147628,"ST PLA STRAIGHT STRAWS WRAPPED BLACK 8X 210MM",147628,N/A,"GHS 7.99",6,MSS,0,N,N,380,1892,PCS,147628,MSS,0
164505,"HALLAB FLOWER JAM KG",164505,N/A,"GHS 469.99",6,MSS,0,N,N,380,1942,KGS,164505,MSS,0
164674,"HALLAB ICE CREAM FOAM 650ML",164674,N/A,"GHS 17.99",6,MSS,0,N,N,380,1892,PCS,164674,MSS,0
164680,"HALLAB MK PLAST COVER ICECREAM CRYSTAL 1KG 100CC",164680,N/A,"GHS 2.49",6,MSS,0,N,N,380,1892,PCS,164680,MSS,0
164681,"HALLAB MK PLAST COVER ICECREAM CRYSTAL 200CC",CIC200,N/A,"GHS 2.49",6,MSS,0,N,N,380,1892,PCS,164681,MSS,0
164682,"HALLAB MK PLAST COVER ICECREAM CRYSTALBOX 1KG 100",164682,N/A,"GHS 0.99",6,MSS,0,N,N,380,1892,PCS,164682,MSS,0
164683,"HALLAB MK PLAST COVER ICECREAM CRYSTAL 1/2KG 150",164683,N/A,"GHS 4.59",6,MSS,0,N,N,380,1892,"2 Kg",164683,MSS,0
